project_id,latitude,longitude,neighbourhood_cleansed,price,room_type,accommodates,bedrooms,beds,host_is_superhost,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,availability_365,amenities_count,bathrooms,NEAR_DIST,House_Buffer_metro_500Join,House_Buffer_metro_100Join,House_Buffer_bus_500Join,House_Buffer_bus_100Join,count_shop_500m,count_rest_500m,count_commercial_500m,dist_to_beach,dist_to_park,dist_to_water,dist_to_tour
6303,22.277180483374703,114.1726250811531,Wan Chai,528,Private room,2,1,1,0,0,0,0,7,357,8,1,583.6746003312289,0,0,149,16,52,314,366,3905.622474961929,166.68325449188765,250.5774203084114,789.9800578937159
6304,22.279581383131344,114.14973360106512,Central & Western,903,Entire home/apt,2,1,1,0,3,0.83,4.67,5,164,12,1,976.818478249236,0,0,29,0,17,106,123,3015.914577061068,138.2620102131823,190.107829942615,596.9396153150385
6305,22.297607548621695,114.17625998462216,Yau Tsim Mong,696,Private room,4,1,3,0,0,0,0,1,300,27,1,257.56858802262377,1,0,76,3,48,278,326,3996.052572467543,140.4409108506524,161.0512248753516,442.878616990428
6306,22.2840513,114.1434552,Central & Western,540,Private room,1,1,1,0,2,0.47,5,3,314,41,2,174.59478708091498,1,0,57,5,21,74,95,2636.360959044728,82.36284531726324,226.82900446624024,948.3911150618936
6307,22.2840513,114.1434552,Central & Western,810,Private room,2,1,1,0,0,0,0,3,313,45,1,174.59478708091498,1,0,57,5,21,74,95,2636.360959044728,82.36284531726324,226.82900446624024,948.3911150618936
6308,22.318738989158327,114.17056694626808,Yau Tsim Mong,1020,Private room,2,1,1,0,0,0,0,1,364,8,1,674.5851714590144,0,0,141,10,69,224,293,2438.5943846410487,211.4664666119569,505.03952947335546,103.13915881175151
6309,22.319742806385644,114.18790830800424,Kowloon City,520,Private room,1,1,2,0,0,0,0,1,73,49,1,307.67997630952203,1,0,65,6,17,59,76,4211.68035958434,210.15908706710323,1238.2854410807104,700.1365897377627
6310,22.28642,114.14949,Central & Western,585,Entire home/apt,4,0,2,0,2,0.42,4,28,339,23,1,714.0570551263497,0,0,95,2,35,143,178,3293.510642014033,179.7470965744753,188.33717668026927,304.3093219973737
6311,22.2802457,114.1539912,Central & Western,1080,Entire home/apt,3,1,1,0,0,0,0,1,157,9,1,1303.0907851341312,0,0,67,4,38,312,350,3455.528970153869,214.8315283070364,309.3572899836625,156.14876957000325
6312,22.32672067807451,114.149077758193,Sham Shui Po,1042,Entire home/apt,2,1,1,0,0,0,0,2,171,56,1,1184.1310009821927,0,0,23,2,6,2,8,461.8204356832848,71.58528928066649,501.9978620901168,1381.3159914716562
6313,22.30909,114.22189,Kwun Tong,315,Entire home/apt,6,1,1,0,1,0.41,5,7,81,11,1,2767.945456960727,0,0,41,4,7,25,32,1683.9287217093015,270.06749175817475,314.07433156811135,3131.8027323669826
6314,22.28037236317097,114.15291685729004,Central & Western,1275,Entire home/apt,2,1,1,0,0,0,0,3,364,9,1,1198.0809990306773,0,0,42,0,38,309,347,3354.7079403241355,201.97732946214632,198.1695724383412,257.64694469234047
